"","Name","City","State","Zip","URL","Latitude","Longitude","ADMrate","Ownership","Citytype","SAT","AvgCost","Major_agriculture","Major_NatureResource","Major_Architecture","Major_CS","Major_Edu","Major_Engineering","Major_Bio","Major_MathStat","Major_Psychology","Major_SocialScience","Major_Business","Major_History"
"3737","Wade College","Dallas","TX","75207","www.wadecollege.edu","32.80086","-96.819524","NULL",3,"11","NULL",23922,"0","0","0","0","0","0","0","0","0","0","1","0"
"3738","Southern Careers Institute-Austin","Austin","TX","78704","www.scitexas.edu","30.239114","-97.751369","NULL",3,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3739","Mountain View College","Dallas","TX","75211-6599","www.dcccd.edu","32.726573","-96.903798","NULL",1,"11","NULL",9648,"0","0","0","0","0","0","0","0","0","0","0","0"
"3740","Everest Institute-San Antonio","San Antonio","TX","78213","www.everest.edu/campus/san_antonio","29.488572","-98.540709","NULL",3,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3741","Tint School of Makeup and Cosmetology-Irving","Irving","TX","75061-4235","www.tintschoolofmakeupandcosmetology.com","32.829662","-96.98076","NULL",3,"12","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3742","Navarro College","Corsicana","TX","75110","www.navarrocollege.edu","32.076066","-96.498738","NULL",1,"32","NULL",14279,"0","0","0","0","0","0","0","0","0","0","0","0"
"3743","Neilson Beauty College","Dallas","TX","75208","www.neilsonbeautycollege.com","32.742919","-96.829149","NULL",3,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3744","Lone Star College System","The Woodlands","TX","77381-4399","www.lonestar.edu","30.188408","-95.490077","NULL",1,"13","NULL",9819,"0","0","0","0","0","0","0","0","0","0","0","0"
"3745","North Lake College","Irving","TX","75038-3899","www.northlakecollege.edu/Pages/default.aspx","32.871878","-96.967106","NULL",1,"12","NULL",9663,"0","0","0","0","0","0","0","0","0","0","0","0"
"3746","University of North Texas","Denton","TX","76203-1277","www.unt.edu","33.210958","-97.151211","0.6538",1,"12","1096",19405,"0","0","1","1","0","1","1","1","1","1","2","1"
"3747","Northeast Texas Community College","Mount Pleasant","TX","75455","www.ntcc.edu","33.104937","-94.881862","NULL",1,"42","NULL",12480,"0","0","0","0","0","0","0","0","0","0","0","0"
"3748","Northwood University-Texas","Cedar Hill","TX","75104-1204","www.northwood.edu","32.607123","-96.967103","0.6897",2,"41","NULL",28405,"0","0","0","0","0","0","0","0","0","0","2","0"
"3749","Oblate School of Theology","San Antonio","TX","78216-6693","www.ost.edu","29.505488","-98.503348","NULL",2,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3750","Ocean Corporation","Houston","TX","77099","www.oceancorp.com","29.665485","-95.570272","NULL",3,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3751","Odessa College","Odessa","TX","79764","www.odessa.edu","31.866295","-102.381919","NULL",1,"13","NULL",11411,"0","0","0","0","0","0","0","0","0","0","0","0"
"3752","Ogle School Hair Skin Nails-Arlington","Arlington","TX","76013","ogleschool.edu","32.721297","-97.140672","NULL",3,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3753","Ogle School Hair Skin Nails-Ft Worth","Fort Worth","TX","76132-3638","www.ogleschool.com","32.673847","-97.380376","NULL",3,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3754","Our Lady of the Lake University","San Antonio","TX","78207-4689","www.ollusa.edu","29.425611","-98.54395","0.4952",2,"11","941",35340,"0","0","0","1","1","0","1","1","1","1","2","1"
"3755","The University of Texas Rio Grande Valley","Edinburg","TX","78539-2999","www.utrgv.edu","26.306629","-98.172112","0.628",1,"13","953",11963,"0","1","0","1","0","1","1","1","1","1","1","1"
"3756","The University of Texas at Brownsville","Brownsville","TX","78520","www.utb.edu","25.893584","-97.486644","NULL",1,"12","NULL",13619,"0","1","0","1","0","1","1","1","1","1","1","1"
"3757","Panola College","Carthage","TX","75633-2397","www.panola.edu","32.15625","-94.356258","NULL",1,"32","NULL",12209,"0","0","0","0","0","0","0","0","0","0","0","0"
"3758","Paris Junior College","Paris","TX","75460","www.parisjc.edu/","33.651072","-95.529301","NULL",1,"33","NULL",11955,"0","0","0","0","0","0","0","0","0","0","0","0"
"3759","Paul Quinn College","Dallas","TX","75241","www.pqc.edu","32.677195","-96.755864","0.8997",2,"11","1070",23459,"0","0","0","1","1","0","1","1","1","1","1","1"
"3760","Prairie View A & M University","Prairie View","TX","77446","www.pvamu.edu","30.094591","-95.992066","0.3913",1,"32","850",17876,"1","0","1","1","0","1","1","1","1","1","2","1"
"3761","Ranger College","Ranger","TX","76470","www.rangercollege.edu","32.466916","-98.68041","NULL",1,"42","NULL",11429,"0","0","0","0","0","0","0","0","0","0","0","0"
"3762","Aviation Institute of Maintenance-Houston","Houston","TX","77061","www.aviation.edu/AIM-Houston/default.aspx","29.65852","-95.28262","NULL",3,"11","NULL",27800,"0","0","0","0","0","0","0","0","0","0","0","0"
"3763","Rice University","Houston","TX","77005-1827","www.rice.edu","29.716485","-95.403625","0.151",2,"11","1460",54291,"0","1","1","1","0","1","1","1","1","1","1","1"
"3764","Richland College","Dallas","TX","75243-2199","www.richlandcollege.edu/","32.922141","-96.730505","NULL",1,"11","NULL",9086,"0","0","0","0","0","0","0","0","0","0","0","0"
"3765","Brightwood College-McAllen","McAllen","TX","78503-1625","www.brightwood.edu/mcallen-tx/","26.186109","-98.207067","NULL",3,"12","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3766","Saint Edward's University","Austin","TX","78704-6489","https://www.stedwards.edu","30.229844","-97.75763","0.7836",2,"11","1116",46212,"0","1","0","1","1","0","1","1","1","1","1","1"
"3767","St Philip's College","San Antonio","TX","78203-2098","www.alamo.edu/spc/","29.41456","-98.452987","NULL",1,"11","NULL",11936,"0","0","0","0","0","0","0","0","0","0","0","0"
"3768","University of St Thomas","Houston","TX","77006-4696","www.stthom.edu","29.738113","-95.394178","0.7899",2,"11","1111",38726,"0","1","0","0","1","0","1","1","1","1","1","1"
"3769","Sam Houston State University","Huntsville","TX","77340","www.shsu.edu/","30.7247","-95.5519","0.7367",1,"32","1000",19721,"1","1","1","1","1","0","1","1","1","1","2","1"
"3770","San Antonio College","San Antonio","TX","78212-3941","www.alamo.edu/sac","29.446415","-98.494234","NULL",1,"11","NULL",11974,"0","0","0","0","0","0","0","0","0","0","0","0"
"3771","San Jacinto Community College","Pasadena","TX","77505","www.sjcd.edu","29.660335","-95.115941","NULL",1,"21","NULL",12329,"0","0","0","0","0","0","0","0","0","0","0","0"
"3772","Schreiner University","Kerrville","TX","78028-5697","www.schreiner.edu","30.03108","-99.131076","0.9353",2,"33","997",34065,"0","0","0","0","1","1","1","1","1","1","1","1"
"3773","Seguin Beauty School-Seguin","Seguin","TX","78155","www.seguinbeautyschool.net","29.569092","-97.964447","NULL",3,"31","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3774","St Mary's University","San Antonio","TX","78228","www.stmarytx.edu/","29.451793","-98.564307","0.5946",2,"11","1033",36504,"0","1","0","1","1","1","1","1","1","1","1","1"
"3775","South Plains College","Levelland","TX","79336","www.southplainscollege.edu/","33.575904","-102.365075","NULL",1,"32","NULL",7949,"0","0","0","0","0","0","0","0","0","0","0","0"
"3776","South Texas Barber College Inc","Corpus Christi","TX","78415","www.southtexasbarbercollege.net","27.752904","-97.41707","NULL",3,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3777","South Texas College of Law","Houston","TX","77002","www.stcl.edu","29.753391","-95.364882","NULL",2,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3778","South Texas Vocational Technical Institute-Weslaco","Weslaco","TX","78599","www.stvt.edu","26.171555","-97.965229","NULL",3,"21","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3779","South Texas Vocational Technical Institute-McAllen","McAllen","TX","78501","www.stvt.edu","26.233242","-98.242566","NULL",3,"12","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3780","Southern Methodist University","Dallas","TX","75275-0221","www.smu.edu","32.845254","-96.784855","0.524",2,"21","1316",60938,"0","1","0","1","1","1","1","1","1","1","1","1"
"3781","Southwest School of Business and Technical Careers-San Antonio","San Antonio","TX","78221-0138","www.sws.edu","29.36776","-98.517333","NULL",3,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3782","Southwest Texas Junior College","Uvalde","TX","78801-6297","www.swtjc.net","29.219676","-99.741245","NULL",1,"33","NULL",11852,"0","0","0","0","0","0","0","0","0","0","0","0"
"3783","Southwestern Assemblies of God University","Waxahachie","TX","75165","www.sagu.edu","32.405477","-96.85315","0.3343",2,"21","NULL",31578,"0","0","0","0","2","0","0","0","2","2","2","2"
"3784","Southwestern University","Georgetown","TX","78626","www.southwestern.edu","30.635194","-97.664637","0.4852",2,"21","1159",48080,"0","1","0","1","1","0","1","1","1","1","1","1"
"3785","Stephen F Austin State University","Nacogdoches","TX","75961","www.sfasu.edu","31.58562","-94.58546","0.5851",1,"41","998",22544,"1","1","1","1","0","0","1","1","1","1","2","1"
"3786","Texas State University","San Marcos","TX","78666","www.txstate.edu","29.889202","-97.936392","0.729",1,"23","1032",19428,"1","1","1","1","0","1","1","1","1","1","1","1"
"3787","Southwestern Adventist University","Keene","TX","76059","www.swau.edu/","32.397136","-97.328511","0.4965",2,"31","905",28054,"0","0","0","1","2","0","1","1","2","2","2","2"
"3788","Southwestern Christian College","Terrell","TX","75160-4812","www.swcc.edu","32.735778","-96.286747","NULL",2,"32","NULL",14206,"0","0","0","0","0","0","0","0","0","0","0","0"
"3789","Sul Ross State University","Alpine","TX","79832","www.sulross.edu","30.363418","-103.65007","0.934",1,"33","890",17354,"1","1","0","1","0","0","1","1","1","1","2","1"
"3790","Tarleton State University","Stephenville","TX","76401-0000","www.tarleton.edu","32.215665","-98.22008","0.5254",1,"33","961",17964,"1","1","0","1","0","1","1","1","1","1","2","1"
"3791","Tarrant County College District","Fort Worth","TX","76102-6524","www.tccd.edu","32.747501","-97.327948","NULL",1,"11","NULL",10195,"0","0","0","0","0","0","0","0","0","0","0","0"
"3792","Temple College","Temple","TX","76504-7435","www.templejc.edu","31.070607","-97.351031","NULL",1,"13","NULL",10670,"0","0","0","0","0","0","0","0","0","0","0","0"
"3793","University of Texas Southwestern Medical Center","Dallas","TX","75390-9096","www.utsouthwestern.edu","32.819539","-96.842311","NULL",1,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3794","The University of Texas Health Science Center at San Antonio","San Antonio","TX","78229-3900","www.uthscsa.edu","29.504716","-98.57606","NULL",1,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3795","The University of Texas Medical Branch","Galveston","TX","77555-0129","www.utmb.edu","29.311333","-94.776401","NULL",1,"31","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3796","Texas State Technical College-Waco","Waco","TX","76705","https://www.tstc.edu","31.637387","-97.083675","NULL",1,"12","NULL",12301,"0","0","0","0","0","0","0","0","0","0","0","0"
"3797","Texarkana College","Texarkana","TX","75599","https://www.texarkanacollege.edu","33.441916","-94.078821","NULL",1,"13","NULL",13982,"0","0","0","0","0","0","0","0","0","0","0","0"
"3798","Texas A & M University-Kingsville","Kingsville","TX","78363","WWW.TAMUK.EDU","27.524852","-97.882342","0.8357",1,"32","922",19700,"1","1","0","1","0","1","1","1","1","1","2","1"
"3799","Texas A & M University-College Station","College Station","TX","77843-1248","www.tamu.edu","30.613226","-96.340322","0.7103",1,"13","1206",20998,"2","2","1","1","0","2","1","2","1","1","2","1"
"3800","The University of Texas at Arlington","Arlington","TX","76013","WWW.UTA.EDU","32.728437","-97.115087","0.614",1,"11","1053",21594,"0","1","1","1","0","1","1","1","1","1","1","1"
"3801","The University of Texas at Austin","Austin","TX","78712","www.utexas.edu","30.286598","-97.73924","0.3966",1,"11","1296",25918,"0","0","1","1","0","1","1","1","1","1","1","1"
"3802","The University of Texas at Dallas","Richardson","TX","75080-3021","www.utdallas.edu","32.989432","-96.748371","0.6194",1,"13","1259",22713,"0","0","0","1","0","1","1","1","1","1","1","1"
"3803","The University of Texas at El Paso","El Paso","TX","79968-0691","www.utep.edu","31.771697","-106.50356","0.9989",1,"11","NULL",15067,"0","1","0","1","1","1","1","1","1","1","1","1"
"3804","The University of Texas at Tyler","Tyler","TX","75799-6699","www.uttyler.edu/","32.314724","-95.249096","0.8358",1,"13","1051",19552,"0","0","0","1","0","1","1","1","1","1","1","1"
"3805","Texas Chiropractic College Foundation Inc","Pasadena","TX","77505-1699","www.txchiro.edu","29.66482","-95.15012","NULL",2,"21","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3806","Texas Christian University","Fort Worth","TX","76129","www.tcu.edu/","32.709568","-97.361537","0.4887",2,"11","1207",50440,"1","1","0","1","1","1","1","1","1","1","1","1"
"3807","Texas College","Tyler","TX","75702","www.texascollege.edu","32.374185","-95.312259","NULL",2,"13","NULL",21046,"0","0","0","1","1","0","1","1","0","1","1","0"
"3808","University of North Texas Health Science Center","Fort Worth","TX","76107-2699","www.unthsc.edu","32.749818","-97.368897","NULL",1,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3809","Texas Lutheran University","Seguin","TX","78155-5999","www.tlu.edu","29.573274","-97.984601","0.5587",2,"31","1020",37444,"0","0","0","1","1","1","1","1","1","1","1","1"
"3810","The University of Texas of the Permian Basin","Odessa","TX","79762-0001","www.utpb.edu","31.889509","-102.329634","0.87",1,"13","963",13939,"0","0","0","1","0","1","1","1","2","2","2","1"
"3811","The University of Texas at San Antonio","San Antonio","TX","78249-1644","www.utsa.edu/","29.582418","-98.621386","0.7591",1,"11","1037",19054,"0","1","1","1","1","1","1","1","1","1","1","1"
"3812","Brightwood College-Houston","Houston","TX","77073","www.brightwood.edu/houston-tx/","29.98361","-95.4125","NULL",3,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3813","Texas Southern University","Houston","TX","77004","www.tsu.edu","29.722468","-95.361961","0.5192",1,"11","812",22183,"0","0","0","1","0","0","1","1","1","1","1","1"
"3814","Texas Tech University","Lubbock","TX","79409-5005","www.ttu.edu","33.580309","-101.876917","0.6613",1,"12","1110",21239,"2","1","1","1","0","1","1","1","1","1","1","1"
"3815","Texas Vocational Schools Inc","Victoria","TX","77901-5625","www.texasvocationalschools.net","28.813791","-96.985036","NULL",3,"13","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3816","Texas Wesleyan University","Fort Worth","TX","76105-1536","www.txwes.edu","32.733314","-97.279631","0.3806",2,"11","984",33163,"0","0","0","1","1","0","1","1","1","1","1","1"
"3817","Texas Woman's University","Denton","TX","76201","www.twu.edu","33.227002","-97.129088","0.8531",1,"12","953",16846,"0","0","0","1","0","0","1","1","1","1","1","1"
"3818","Trinity University","San Antonio","TX","78212-7200","www.trinity.edu","29.46286","-98.482577","0.4842",2,"11","1281",48579,"0","1","0","1","1","1","1","1","1","1","1","1"
"3819","The University of Texas Health Science Center at Houston","Houston","TX","77030","www.uth.edu/","29.702873","-95.403183","NULL",1,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3820","Texas State Technical College-Harlingen","Harlingen","TX","78550-3697","www.tstc.edu","26.219333","-97.666348","NULL",1,"13","NULL",15714,"0","0","0","0","0","0","0","0","0","0","0","0"
"3821","Texas State Technical College-West Texas","Sweetwater","TX","79556","www.texas.tstc.edu","32.462704","-100.474926","NULL",1,"41","NULL",18179,"0","0","0","0","0","0","0","0","0","0","0","0"
"3822","Texas Tech University Health Sciences Center","Lubbock","TX","79430","www.ttuhsc.edu","33.593227","-101.89359","NULL",1,"12","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3823","Tyler Junior College","Tyler","TX","75701","www.tjc.edu","32.336015","-95.284129","NULL",1,"13","NULL",12784,"0","0","0","0","0","0","0","0","0","0","0","0"
"3824","Universal Technical Institute of Texas Inc.","Houston","TX","77073","www.uti.edu","29.990492","-95.41212","NULL",3,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3825","University of Cosmetology Arts & Sciences-McAllen","McAllen","TX","78504","www.ucastx.com","26.268873","-98.219594","NULL",3,"12","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3826","Vernon College","Vernon","TX","76384-4092","www.vernoncollege.edu","34.159298","-99.319094","NULL",1,"41","NULL",11309,"0","0","0","0","0","0","0","0","0","0","0","0"
"3827","Victoria Beauty College Inc","Victoria","TX","77901-6233","www.victoriabeautycollegeinc.com","28.80744","-96.990829","NULL",3,"13","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3828","Victoria College","Victoria","TX","77901","www.victoriacollege.edu","28.816451","-96.979234","NULL",1,"13","NULL",12318,"0","0","0","0","0","0","0","0","0","0","0","0"
"3829","Vogue College of Cosmetology-McAllen","McAllen","TX","78501-1945","voguebeautycollege.com","26.23253","-98.223001","NULL",3,"12","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3830","Wayland Baptist University","Plainview","TX","79072","www.wbu.edu","34.186673","-101.729564","0.9774",2,"33","946",23229,"0","2","0","0","2","0","1","1","1","1","2","1"
"3831","Weatherford College","Weatherford","TX","76086-5699","https://www.wc.edu","32.740658","-97.792652","NULL",1,"31","NULL",11554,"0","0","0","0","0","0","0","0","0","0","0","0"
"3832","West Texas A & M University","Canyon","TX","79016-0001","www.wtamu.edu","34.981996","-101.9158","0.6742",1,"31","970",18039,"1","1","0","1","0","1","1","1","1","1","1","1"
"3833","Western Texas College","Snyder","TX","79549","www.wtc.edu","32.678586","-100.914369","NULL",1,"33","NULL",10734,"0","0","0","0","0","0","0","0","0","0","0","0"
"3834","Wharton County Junior College","Wharton","TX","77488","www.wcjc.edu","29.324294","-96.085199","NULL",1,"32","NULL",8736,"0","0","0","0","0","0","0","0","0","0","0","0"
"3835","Wiley College","Marshall","TX","75670","wileyc.edu","32.537646","-94.376821","NULL",2,"32","NULL",21299,"0","0","0","0","1","0","1","1","0","1","1","1"
"3836","AmeriTech College-Provo","Provo","UT","84604","www.ameritech.edu","40.261772","-111.668083","0.775",3,"12","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3837","Bridgerland Applied Technology College","Logan","UT","84321","www.batc.edu","41.756188","-111.850619","NULL",1,"13","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3838","Brigham Young University-Provo","Provo","UT","84602","www.byu.edu","40.250851","-111.649281","0.47",2,"12","1290",17236,"1","0","0","1","1","1","1","1","1","1","1","1"
"3839","Brigham Young University-Hawaii","Laie","HI","96762-1294","www.byuh.edu/","21.641172","-157.925358","0.3486",2,"31","1110",16128,"0","0","0","1","1","0","1","1","1","1","1","1"
"3840","Broadview University-West Jordan","West Jordan","UT","84088","www.broadviewuniversity.edu/","40.700265","-111.92378","NULL",3,"21","NULL",25194,"0","0","0","2","0","0","0","0","0","0","2","0"
"3841","Cameo College of Essential Beauty","Murray","UT","84107","www.cameocollege.com","40.644877","-111.888447","NULL",3,"21","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3842","Sherman Kendall Academy-Salt Lake City","Salt Lake City","UT","84106","www.shermankendall.com","40.722523","-111.871625","NULL",3,"12","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3843","Sherman Kendall Academy-Midvale","Midvale","UT","84047","www.shermankendall.com","40.618239","-111.865553","NULL",3,"21","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3844","Davis Applied Technology College","Kaysville","UT","84037-2699","www.datc.edu","41.028956","-111.925227","NULL",1,"21","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3845","Dixie State University","Saint George","UT","84770-3876","www.dixie.edu/","37.103875","-113.565894","NULL",1,"13","NULL",17536,"0","0","0","1","1","0","1","1","1","0","1","1"
"3846","Evans Hairstyling College-Cedar City","Cedar City","UT","84720","evanscollege.com","37.679851","-113.064394","NULL",3,"33","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3847","Evans Hairstyling College-St George","Saint George","UT","84770","evanscollege.com","37.108487","-113.56287","NULL",3,"13","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3848","Paul Mitchell the School-Salt Lake City","Holladay","UT","84117","saltlake.paulmitchell.edu/","40.666682","-111.835864","NULL",3,"21","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3849","Eagle Gate College-Murray","Murray","UT","84123-6965","EAGLEGATECOLLEGE.EDU","40.649984","-111.903609","NULL",3,"21","NULL",25472,"0","0","0","0","0","0","0","0","0","0","2","0"
"3850","ITT Technical Institute-Murray","Murray","UT","84123","www.itt-tech.edu","40.674978","-111.917405","0.9123",3,"21","NULL",28650,"0","0","0","1","0","0","0","0","0","0","1","0"
"3851","Latter-day Saints Business College","Salt Lake City","UT","84101-3500","www.ldsbc.edu","40.771022","-111.900382","NULL",2,"12","NULL",12045,"0","0","0","0","0","0","0","0","0","0","0","0"
"3852","Everest College-Salt Lake City","West Valley City","UT","84119-2632","www.everest.edu/campus/salt_lake_city","40.697058","-111.969493","NULL",3,"21","NULL",24946,"0","0","0","1","0","0","0","0","0","0","1","0"
"3853","Ogden-Weber Applied Technology College","Ogden","UT","84404-4089","www.owatc.edu","41.263419","-111.96314","NULL",1,"13","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3854","Snow College","Ephraim","UT","84627","www.snow.edu","39.361112","-111.581543","NULL",1,"33","NULL",13570,"0","0","0","0","0","0","0","0","0","0","0","0"
"3855","Southern Utah University","Cedar City","UT","84720","www.suu.edu/","37.674617","-113.070146","0.6103",1,"33","1063",18315,"1","0","0","1","1","1","1","1","1","1","1","1"
"3856","Stevens-Henager College","West Haven","UT","84401","www.stevenshenager.edu","41.232847","-112.011617","NULL",2,"21","NULL",29269,"0","0","0","1","0","0","0","0","0","0","1","0"
"3857","Stevens-Henager College","Orem","UT","84058","www.stevenshenager.edu/locations/st-george","40.269691","-111.713264","NULL",2,"13","NULL",28066,"0","0","0","1","0","0","0","0","0","0","1","0"
"3858","Uintah Basin Applied Technology College","Roosevelt","UT","84066","www.ubatc.edu/","40.300205","-109.9771","NULL",1,"33","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3859","Utah State University","Logan","UT","84322-1400","www.usu.edu","41.740748","-111.81391","0.9783",1,"13","1067",16572,"2","1","1","1","1","1","1","1","2","2","1","1"
"3860","Utah Valley University","Orem","UT","84058-5999","www.uvu.edu","40.278512","-111.717058","NULL",1,"13","NULL",12875,"0","1","0","1","1","1","1","1","1","1","2","1"
"3861","Salt Lake Community College","Salt Lake City","UT","84123","www.slcc.edu","40.671575","-111.942809","NULL",1,"21","NULL",11280,"0","0","0","0","0","0","0","0","0","0","0","0"
"3862","University of Utah","Salt Lake City","UT","84112-9008","www.utah.edu","40.762484","-111.846044","0.8142",1,"12","1131",18931,"0","1","1","1","1","1","1","1","1","1","1","1"
"3863","Weber State University","Ogden","UT","84408-1031","www.weber.edu","41.192021","-111.948388","NULL",1,"13","NULL",13733,"0","0","0","1","1","1","1","1","1","1","1","1"
"3864","Westminster College","Salt Lake City","UT","84105","www.westminstercollege.edu","40.731495","-111.855553","0.9576",2,"12","1122",39868,"0","1","0","1","1","0","1","1","1","1","1","1"
"3865","Bennington College","Bennington","VT","05201-6003","www.bennington.edu","42.92004","-73.237498","0.6721",2,"32","NULL",61920,"0","1","1","1","1","0","1","1","1","1","0","1"
"3866","Burlington College","Burlington","VT","5401","www.burlington.edu","44.49116","-73.228261","0.7839",2,"13","NULL",34048,"0","0","0","0","0","0","0","0","2","2","2","0"
"3867","Castleton University","Castleton","VT","5735","www.castleton.edu","43.607982","-73.181486","0.9164",1,"32","967",21255,"0","1","0","0","1","0","1","1","1","1","1","1"
"3868","Champlain College","Burlington","VT","5401","www.champlain.edu","44.47295","-73.204354","0.6417",2,"13","1150",47556,"0","1","0","2","1","0","0","0","1","0","2","0"
"3869","Community College of Vermont","Winooski","VT","05404-2245","www.ccv.edu","44.491497","-73.181863","NULL",1,"22","NULL",14946,"0","0","0","0","0","0","0","0","0","0","0","0"
"3870","Goddard College","Plainfield","VT","05667-9432","www.goddard.edu","44.27912","-72.437252","1",2,"42","NULL",28070,"0","0","0","0","1","0","0","0","0","0","0","0"
"3871","Green Mountain College","Poultney","VT","05764-1199","www.greenmtn.edu","43.517134","-73.241107","0.6835",2,"42","NULL",45906,"1","1","1","0","1","0","1","0","1","1","1","1"
"3872","Johnson State College","Johnson","VT","05656-9464","www.jsc.edu","44.641736","-72.671154","0.9546",1,"42","941",20913,"0","1","0","0","1","0","1","1","1","1","1","1"
"3873","Lyndon State College","Lyndonville","VT","05851-0919","WWW.LYNDONSTATE.EDU","44.53433","-72.024563","0.9914",1,"33","937",20369,"0","1","0","1","1","0","0","1","1","1","1","0"
"3874","Marlboro College","Marlboro","VT","05344-0300","www.marlboro.edu","42.839603","-72.736552","0.816",2,"42","NULL",51660,"0","1","0","1","1","0","1","1","1","1","0","1"
"3875","Middlebury College","Middlebury","VT","5753","www.middlebury.edu","44.009117","-73.176068","0.1717",2,"32","1379",59470,"0","1","1","1","0","0","1","1","1","1","0","1"
"3876","New England Culinary Institute","Montpelier","VT","5602","www.neci.edu","44.261202","-72.55937","NULL",3,"32","NULL",NA,"0","0","0","0","0","0","0","0","0","0","2","0"
"3877","Norwich University","Northfield","VT","05663-1035","www.norwich.edu","44.139402","-72.660129","0.6574",2,"32","1053",49516,"0","1","1","1","1","1","1","1","1","1","1","1"
"3878","O'Briens Aveda Institute","South Burlington","VT","05403-7747","www.obriensavedainstitute.org","44.433754","-73.210065","NULL",3,"13","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3879","Saint Michael's College","Colchester","VT","5439","www.smcvt.edu","44.494212","-73.163136","0.8046",2,"22","NULL",50806,"0","1","0","1","1","1","1","1","1","1","1","1"
"3880","SIT Graduate Institute","Brattleboro","VT","05302-0676","www.sit.edu","42.891035","-72.56738","NULL",2,"41","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3881","College of St Joseph","Rutland","VT","05701-3899","www.csj.edu","43.599777","-73.007033","0.6558",2,"32","NULL",33800,"0","0","0","0","1","0","0","0","1","0","1","1"
"3882","Southern Vermont College","Bennington","VT","05201-6002","www.svc.edu","42.867031","-73.21866","0.9373",2,"41","849",35500,"0","0","0","0","0","0","1","0","1","1","1","0"
"3883","Sterling College","Craftsbury Common","VT","05827-0072","www.sterlingcollege.edu","44.65225","-72.382372","0.9853",2,"43","NULL",41092,"1","0","0","0","0","0","1","0","0","0","0","0"
"3884","Vermont Law School","South Royalton","VT","05068-0096","www.vermontlaw.edu","43.821797","-72.52207","NULL",2,"43","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3885","Vermont Technical College","Randolph Center","VT","05061-0500","www.vtc.edu","43.939321","-72.605179","0.8319",1,"43","NULL",23703,"1","0","0","1","0","0","0","0","0","0","1","0"
"3886","University of Vermont","Burlington","VT","05405-0160","www.uvm.edu","44.479262","-73.198128","0.7344",1,"13","1191",28348,"1","1","0","1","1","1","1","1","1","1","1","1"
"3887","Bar Palma Beauty Careers Academy","Roanoke","VA","24014","roanoke.paulmitchell.edu","37.237643","-79.968854","NULL",3,"13","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
